Ссылка;Высказывание;Ключевые слова;Счёт;;;;
https://www.livepress.ge/ru/2019-05-14-13-29-07/article/35462-2020-08-14-07-02-09.html;Поэтому однозначно говорить о том, что какое-либо гомеопатическое средство положительно влияет на коронавирус, абсолютно лишено каких-либо оснований.;гомеопатия;8;;;;
https://www.mythdetector.ge/ru/myth/izlecivaet-li-krokodilovaa-krov-covid-19-i-cto-takoe-gomeopatia;На этот раз предметом обсуждения в Facebook стали гомеопатические препараты, которые якобы эффективно применяются против COVID-19. ;гомеопатия;9;;;;
https://gomeopatru.com/blog/covid19-homeopathy/;Цель гомеопатического лечения - активация иммунного ответа, что позволяет снизить число заболевших среди контактировавших с COVID-больным, переносить болезнь в легкой форме без осложнений, выздоравливать и восстанавливаться в кратчайшие сроки.;гомеопатия;10;;;;
https://inosmi.ru/social/20200319/247081166.html;Приверженцы гомеопатической медицины высказали свое мнение о лечении коронавирусной инфекции COVID-19.;гомеопатия;11;;;;
https://inosmi.ru/social/20200319/247081166.html;Они призывают использовать гомеопатический препарат «Arsenicum album» в качестве профилактического средства от коронавируса.;гомеопатия;12;;;;
https://inosmi.ru/social/20200319/247081166.html;Гомеопатия — ложное лекарство от коронавируса;гомеопатия;13;;;;
https://www.youtube.com/watch?v=U-Wo0krriQ0&lc=Ugz6Q45Sxgdz_ozkicx4AaABAg.96nAL5tmLKq96pG-K1Ehpp;Зато мы гриппом не болеем и коронавируса не боимся.;грипп;1;;;;
https://lysyi-valenok.livejournal.com/554269.html;Ковид-19 не опаснее сезонного гриппа;грипп;2;;;;
https://lysyi-valenok.livejournal.com/554269.html;Итак, почему ковид-19 намного опаснее сезонного гриппа с эпидемиологической точки зрения.;грипп;3;;;;
https://ru.wikipedia.org/wiki/COVID-19;Согласно данным ВОЗ на 17 марта 2020 года, COVID-19 и грипп схожи по клиническим проявлениям болезни: инфекции могут протекать бессимптомно, в лёгкой или тяжёлой форме, в том числе с риском смерти[171].;грипп;4;;;;
https://www.youtube.com/watch?v=33rsLhemnfg&lc=UgwBGu8OSwwsh4YnFM54AaABAg.9C3ZWrt9V3m9C5ik9UzvHT;Разница между коронавирусом и гриппом большая, не в пользу коронавируса.;грипп;5;;;;
https://tsargrad.tv/news/nadezhdy-ne-opravdalis-gripp-i-kovid-ne-vragi-a-partnjory_277231;В Роспотребнадзоре рассказали, что грипп, к сожалению, не способен подавлять коронавирус, как предполагалось ранее.;грипп;6;;;;
https://tsargrad.tv/news/nadezhdy-ne-opravdalis-gripp-i-kovid-ne-vragi-a-partnjory_277231;Наоборот, если заболеть одновременно гриппом и COVID-19, болезнь будет протекать намного тяжелее.;грипп;7;;;;
https://tsargrad.tv/news/nadezhdy-ne-opravdalis-gripp-i-kovid-ne-vragi-a-partnjory_277231;По словам Поповой, даже если COVID-19 протекает бессимптомно, при наложении на грипп он серьёзно усилит симптомы и спровоцирует более тяжёлое течение болезни.;грипп;8;;;;
https://www.interfax.ru/russia/723591;Соединение гриппа с новой коронавирусной инфекцией, даже протекающей без каких-либо симптомов, может вызвать серьезную болезнь, отмечает Роспотребнадзор.;грипп;9;;;;
https://www.interfax.ru/russia/723591;При наложении вируса гриппа на коронавирусную инфекцию, даже бессимптомную, течение гриппа усиливается значимо.;грипп;10;;;;
https://www.interfax.ru/russia/723591;К сожалению, наша надежда, что это будут конкурирующие вирусы - вирусы гриппа и коронавируса - не оправдалась;грипп;11;;;;
https://mz.mosreg.ru/deyatelnost/profilaktika-koronavirusa;Коронавирус и вирус гриппа могут иметь сходные симптомы, но генетически они абсолютно разные.;грипп;12;;;;
https://www.5.ua/ru/obshchestvo/hrypp-y-koronavyrus-ymmunoloh-rasskazal-v-chem-samaia-bolshaia-opasnost-obeykh-ynfektsyi-208271.html;А вообще спутать коронавирус с вирусом гриппа, по его словам, очень легко.;грипп;13;;;;
https://www.youtube.com/watch?v=FT4NWXTzhas&lc=UgwTHIvTT44qNudmkoV4AaABAg.95XqP1kwEP_95uoo3v9dHs;В Шереметьево принимают экстренные меры, чтобы не допустить распространения коронавируса, потому, что коронавирус это не гриппа!;грипп;14;;;;
https://www.youtube.com/watch?v=FT4NWXTzhas&lc=UgxcQIxSC3eLIB1bAfd4AaABAg.96wX7motRJq9As8ts8RcY3;ковид НЕ опсанее нормального гриппа.;грипп;15;;;;
https://26dsp.ru/node/237;Вирусы гриппа и коронавирусной инфекции вызывают у человека респираторные заболевания разной тяжести.;грипп;16;;;;
http://cgon.rospotrebnadzor.ru/content/63/4131/;Группы риска для гриппа и новой коронавирусной инфекции также одинаковы.;грипп, группа риска;1;;;;
https://www.youtube.com/watch?v=FT4NWXTzhas&lc=Ugxejt255ey6YJotC7x4AaABAg.94yijqvR0bL95bAlDhPOoN;а теперь безосновательно успокаивает нас, говоря что коронавирус якобы менее заразен, чем грипп;грипп, заразность;1;;;;
https://www.youtube.com/watch?v=FT4NWXTzhas&lc=Ugxejt255ey6YJotC7x4AaABAg.94yijqvR0bL95sVC-WqgXZ;1. у гриппа контагиозность намного выше чем у коронавируса и в этом его опасность. ;грипп, заразность;2;;;;
https://www.youtube.com/watch?v=FT4NWXTzhas&lc=Ugxejt255ey6YJotC7x4AaABAg.94yijqvR0bL95tcDpsdaIZ;Считают,что контагиозность коронавируса в три раза выше, чем вируса гриппа, и смертность ,приблизительно также,, при гриппе 0_9 а при коронавирусе - 3,5. ;грипп, заразность, смертность;1;;;;
https://m.business-gazeta.ru/article/468419?fbclid=IwAR1QltwPNOzZgTxgFay4jJxoNMJ3dBDkgl7o6lcPexeDmw9u9OEwn-0dq7g;Если взять вирусы гриппа, то ко многим из них у нас есть иммунитет, мы с ними уже встречались, а COVID-19 для нас новый, и у людей нет антител к нему.;грипп, иммунитет;1;;;;
https://habr.com/ru/post/494896/;Немецкий иммунолог и токсиколог, профессор Стефан Хокерц объясняет, что Covid-19 не более опасен, чем грипп, просто ему уделяется больше внимания.;грипп, опасность;1;;;;
https://habr.com/ru/post/494896/;Аргентинский вирусолог и биохимик Пабло Гольдшмидт утверждает, что Covid-19 не более опасен, чем простуда или грипп. ;грипп, опасность, простуда;1;;;;
https://www.bbc.com/russian/features-52065978;Если Covid-19 протекает в легкой форме, его симптомы очень похожи на обычный сезонный грипп: сухой кашель, температура, общая слабость, иногда боль в мышцах или головная боль.;грипп, симптом;1;;;;
https://mz.mosreg.ru/deyatelnost/profilaktika-koronavirusa;Вирусы гриппа размножаются очень быстро - симптомы проявляются через два-три дня после заражения, а коронавирусу требуется для этого до 14 дней.;грипп, симптом;2;;;;
https://www.5.ua/ru/obshchestvo/hrypp-y-koronavyrus-ymmunoloh-rasskazal-v-chem-samaia-bolshaia-opasnost-obeykh-ynfektsyi-208271.html;Недомогание, першение в горле, выделения из носа, ломота, которая может сочетаться с температурой – то есть первые симптомы коронавирусной инфекции такие же, как и у знакомого украинцам гриппа.;грипп, симптом;3;;;;
https://habr.com/ru/post/494896/;Известный итальянский вирусолог Джулио Тарро утверждает, что уровень смертности от Covid-19 ниже 1% даже в Италии и поэтому сравним с гриппом. ;грипп, смертность;1;;;;
https://habr.com/ru/post/494896/;Два профессора медицины из Стэнфорда, Эран Бендавид и Джей Бхаттачарья, объясняют, что летальность Covid-19 переоценена на несколько порядков, вероятно, даже в Италии она составляет всего 0,01% — 0,06% и таким образом, ниже, чем у гриппа.;грипп, смертность;2;;;;
https://habr.com/ru/post/494896/;Немецкий профессор вирусологии доктор Карстен Шеллер из Вюрцбургского университета объясняет в подкасте, что Covid-19 определенно сопоставим с гриппом и до сих пор даже приводил к меньшему количеству смертей.;грипп, смертность;3;;;;
https://habr.com/ru/post/494896/#comment_21458160;От гриппа умирает ~0.1% заражённых, а от SARS-CoV-2 в среднем от 1 до 3% заразившихся.;грипп, смертность;4;;;;
https://habr.com/ru/post/494896/#comment_21459332;грипп постоянно затягивают до появления серьезных симптомов, а лечение проводят кое-как и даже в таких условиях его смертность в 10 раз меньше чем от covid-19;грипп, смертность;5;;;;
https://www.spb.kp.ru/daily/27113/4192700/;То есть от коронавируса люди умирают как минимум в 15 раз чаще, чем от гриппа.;грипп, смертность;6;;;;
https://meduza.io/feature/2020/07/23/sozdatel-rossiyskoy-vaktsiny-ot-koronavirusa-denis-logunov-dal-meduze-pervoe-bolshoe-intervyu-on-rasskazal-stoit-li-zhdat-privivok-k-sentyabryu-2020-goda;А общая летальность сильно выше, чем при гриппе: при гриппе — 0,04%, максимум — 0,1%, COVID-19 — в несколько раз больше.;грипп, смертность;7;;;;
https://www.youtube.com/watch?v=33rsLhemnfg&lc=UgwBGu8OSwwsh4YnFM54AaABAg.9C3ZWrt9V3m9C5ik9UzvHT;От ковида умирает больше людей, чем от гриппа;грипп, смертность;8;;;;
https://www.5.ua/ru/obshchestvo/hrypp-y-koronavyrus-ymmunoloh-rasskazal-v-chem-samaia-bolshaia-opasnost-obeykh-ynfektsyi-208271.html;По количеству летальных случаев коронавирус опережает грипп.;грипп, смертность;9;;;;
https://www.business-gazeta.ru/article/468307;Немецкий эпидемиолог доктор Кнут Витковский (Knut Wittkowski) в интервью, данном в конце апреля, сообщил, что коэффициент смертности от COVID-19 сравним с гриппом,;грипп, смертность;10;;;;
https://www.youtube.com/watch?v=FT4NWXTzhas&lc=UgwTHIvTT44qNudmkoV4AaABAg.95XqP1kwEP_95uoo3v9dHs;Смертность коронавируса в настоящее время!!! составляет 3 400 погибших из 100 000 инфицированных, это 3,4%.;грипп, смертность;11;;;;
https://www.mskagency.ru/materials/2985351;Он отметил, что люди со второй группой крови могут быть более восприимчивы к различным инфекционным заболеваниям, однако в отношении нового коронавируса таких данных пока нет.;группа крови;1;;;;
https://sitv.ru/arhiv/news/gruppa-krovi-imeet-znachenie-kto-chashhe-vsego-boleet-koronavirusom/;Также достоверно известно, что люди второй группы крови примерно в 1,5 раза более чувствительны к коронавирусу, чем люди с другими группами крови.;группа крови;2;;;;
https://www.rbc.ru/rbcfreenews/5eef37189a7947223a871a95;Ранее глава Федерального медико-биологического агентства Вероника Скворцова рассказала, что чаще всего коронавирусом болеют люди со второй группой крови.;группа крови;3;;;;
https://www.rbc.ru/rbcfreenews/5eef37189a7947223a871a95;Реже всего коронавируная инфекция встречается у людей с четвертой группой крови.;группа крови;4;;;;
https://www.rbc.ru/rbcfreenews/5eef37189a7947223a871a95;Также в американской компании 23andMe, специализирующейся на расшифровке генома, заявили, что люди с первой группой крови наименее подвержены заражению коронавирусной инфекцией.;группа крови;5;;;;
https://www.rbc.ru/rbcfreenews/5eef37189a7947223a871a95;По данным обследования 750 тыс. клиентов, из которых 10 тыс. человек были заражены коронавирусом, носители первой группой крови на 9–18% реже заболевают COVID-19.;группа крови;6;;;;
https://www.rbc.ru/rbcfreenews/5f34e0da9a794732b985b393;В мае глава Федерального медико-биологического агентства Вероника Скворцова подтвердила данные о том, что среди заболевших коронавирусом больше всего людей со второй группой крови.;группа крови;7;;;;
https://www.rbc.ru/rbcfreenews/5f34e0da9a794732b985b393;Ранее ученые из США выяснили, что с учетом пола, массы тела и возраста люди с первой группой крови на 9–18% реже заболевают COVID-19.;группа крови;8;;;;
https://tvzvezda.ru/news/vstrane_i_mire/content/20207221721-mBOPZ.html?utm_source=tvzvezda&utm_medium=longpage&utm_campaign=longpage&utm_term=v1;В рамках исследования специалистов Массачусетской общеклинической больницы было установлено, что степень тяжести  коронавирусной инфекции не зависит от группы крови пациента.;группа крови;9;;;;
https://tvzvezda.ru/news/vstrane_i_mire/content/20207221721-mBOPZ.html?utm_source=tvzvezda&utm_medium=longpage&utm_campaign=longpage&utm_term=v1;никакой  статистической взаимосвязи групп крови с риском умереть от COVID-19 или с необходимостью использовать аппараты искусственного дыхания нет.;группа крови;10;;;;
https://tvzvezda.ru/news/vstrane_i_mire/content/20207221721-mBOPZ.html?utm_source=tvzvezda&utm_medium=longpage&utm_campaign=longpage&utm_term=v1;Помимо этого, не установили связь между группами крови и воспалительными маркерами, которые говорят о том, что иммунитет слишком сильно реагирует на COVID-19;группа крови;11;;;;
https://tvzvezda.ru/news/vstrane_i_mire/content/20207221721-mBOPZ.html?utm_source=tvzvezda&utm_medium=longpage&utm_campaign=longpage&utm_term=v1;Однако исследователи предположили, что связь между группой крови и коронавирусом все-таки существует.;группа крови;12;;;;
https://www.gazeta.ru/social/2020/06/21/13125763.shtml;Чаще всего осложненная форма протекания коронавируса выявляется у людей со второй группой крови, уверены иранские ученые.;группа крови;13;;;;
https://www.gazeta.ru/social/2020/06/21/13125763.shtml;Среди умерших от коронавируса меньше всего пациентов с первой группой крови.;группа крови;14;;;;
https://www.gazeta.ru/social/2020/06/21/13125763.shtml;Люди с третьей или с четвертой группой крови, у которых был выявлен коронавирус были подвержены риску осложнений больше, чем пациенты с первой группой крови, но меньше, чем те, у кого была вторая группа крови.;группа крови;15;;;;
https://rg.ru/2020/07/23/uchenye-ocenili-vliianie-gruppy-krovi-na-zabolevanie-koronavirusom.html;Однако ученые выяснили, что обладатели групп крови В (III) и АВ (IV) с большей вероятностью дают положительный результат при тестировании на COVID-19.;группа крови;16;;;;
https://sitv.ru/arhiv/news/gruppa-krovi-imeet-znachenie-kto-chashhe-vsego-boleet-koronavirusom/;Оказывается, что восприимчивость к новой коронавирусной инфекции зависит от национальной принадлежности и даже от группы крови.;группа крови, национальность;1;;;;
https://www.rbc.ru/rbcfreenews/5f34e0da9a794732b985b393;Исследование показало и значительную корреляцию между заболеваемостью COVID и группами крови, в частности прямую связь со второй положительной группой крови (А+).;группа крови, резус-фактор;1;;;;
https://www.who.int/ru/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters;Заразиться новым коронавирусом (2019-?nCoV) могут представители всех возрастных категорий.;группа риска;1;;;;
https://xn--80aesfpebagmfblc0a.xn--p1ai/about-covid/#myths;Заразиться новым коронавирусом (COVID-19) могут представители всех возрастных категорий.;группа риска;2;;;;
https://xn--80aesfpebagmfblc0a.xn--p1ai/news/20200612-1008.html;Людей из группы риска призвали осторожно выходить из самоизоляции;группа риска;3;;;;
https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0_COVID-19;Специальные исследования по возбудителю COVID-19 показали, что в целом он реагирует на антисептики так же, как и остальные коронавирусы.;дезинфекция;1;;;;
https://www.who.int/ru/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters;Чтобы уберечь себя от COVID?19, следует проводить дезинфекцию предметов окружающей обстановки и различных поверхностей, в особенности тех, к которым вы регулярно прикасаетесь.;дезинфекция;2;;;;
https://xn--80aesfpebagmfblc0a.xn--p1ai/about-covid/#myths;Употребление дезинфицирующих средств убивает коронавирус в организме;дезинфекция;3;;;;
https://xn--80aesfpebagmfblc0a.xn--p1ai/about-covid/#myths;Чтобы защитить себя от коронавируса, дезинфицируйте предметы и поверхности, особенно те, к которым вы регулярно прикасаетесь.;дезинфекция;4;;;;
https://novayagazeta.ru/articles/2020/03/18/84382-virus-letyaschiy-na-krylyah-nochi;Не первый день в социальных сетях (в основном, в WhatsApp) муссируется информация о том, что российские города с зафиксированными случаями заражения COVID-19, будут обеззаражены с помощью военных вертолетов.;дезинфекция, Россия;1;;;;
https://riafan.ru/1307049-vse-glavnye-novshestva-dlya-shkolnikov-ikh-roditelei-i-uchitelei-s-1-sentyabrya;Да, самим детям коронавирус не так страшен, однако для учителей излишние контакты могут быть опасны.;дети;1;;;;
https://www.mythdetector.ge/ru/myth/pocemu-zablokirovali-socialnye-seti-video-v-kotorom-utverzdaetsa-cto-koronavirus-ne-ubivaet;Также они заявляют, что дети не являются носителями коронавируса и поэтому риска заражения от них нет.;дети;2;;;;
https://www.mythdetector.ge/ru/myth/pocemu-zablokirovali-socialnye-seti-video-v-kotorom-utverzdaetsa-cto-koronavirus-ne-ubivaet;У несовершеннолетних инфекция COVID-19 протекает относительно легко или полностью бессимптомно, поэтому уровень смертности среди детей низкий, хотя, как поясняют ученые, существует риск передачи коронавируса от несовершеннолетнего.;дети;3;;;;
https://www.dw.com/ru/uchenye-v-ssha-deti-mogut-nedeljami-nosit-sars-cov-2-v-sebe-bez-simptomov/a-54757045;Исследование: дети могут неделями носить SARS-CoV-2 без симптомов;дети;4;;;;
https://www.dw.com/ru/uchenye-v-ssha-deti-mogut-nedeljami-nosit-sars-cov-2-v-sebe-bez-simptomov/a-54757045;Коронавирус SARS-CoV-2 может несколько недель оставаться в организме ребенка - бессимптомного носителя.;дети;5;;;;
https://www.dw.com/ru/uchenye-v-ssha-deti-mogut-nedeljami-nosit-sars-cov-2-v-sebe-bez-simptomov/a-54757045;В организме детей и молодежи может быть гораздо больше частиц SARS-CoV-2, чем у взрослых, выяснили ранее исследователи в Бостоне.;дети;6;;;;
https://nauka.tass.ru/nauka/9317309;Нужно пересмотреть роль детей в распространении коронавируса, а также учесть этот факт при выработке мер по борьбе с пандемией;дети;7;;;;
https://nauka.tass.ru/nauka/9317309;Как показали наблюдения за вспышкой коронавирусной инфекции в китайском Ухане, дети гораздо реже заражаются коронавирусом нового типа (SARS-CoV-2) и почти не испытывают тяжелых симптомов COVID-19,;дети;8;;;;
https://nauka.tass.ru/nauka/9317309;При этом дети если коронавирус все же смог проникнуть в детский организм, то ребенок может передавать его окружающим.;дети;9;;;;
https://www.dw.com/ru/%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81-%D0%B4%D0%BB%D1%8F-%D0%BA%D0%BE%D0%B3%D0%BE-%D0%BE%D0%BD-%D0%BE%D1%81%D0%BE%D0%B1%D0%B5%D0%BD%D0%BD%D0%BE-%D0%BE%D0%BF%D0%B0%D1%81%D0%B5%D0%BD-%D0%B8-%D0%BF%D0%BE%D1%87%D0%B5%D0%BC%D1%83/a-52742588;"Удивительно, но в нынешней пандемии коронавируса SARS-CoV-2 дети не являются ""слабым звеном"" - среди погибших пока нет ни одного ребенка.";дети;10;;;;
https://www.dw.com/ru/%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81-%D0%B4%D0%BB%D1%8F-%D0%BA%D0%BE%D0%B3%D0%BE-%D0%BE%D0%BD-%D0%BE%D1%81%D0%BE%D0%B1%D0%B5%D0%BD%D0%BD%D0%BE-%D0%BE%D0%BF%D0%B0%D1%81%D0%B5%D0%BD-%D0%B8-%D0%BF%D0%BE%D1%87%D0%B5%D0%BC%D1%83/a-52742588;Конечно же, дети тоже заражаются коронавирусом, но инфекция протекает у них бессимптомно или же в очень легкой форме.;дети;11;;;;
https://www.pediatr-russia.ru/COVID-19/detail.php?ELEMENT_CODE=koronavirusnaya-infektsiya-u-detey;иммунитет после перенесенной новой коронавирусной инфекции длится недолго (Edmunds, SAGE UK)…;дети;12;;;;
https://www.pediatr-russia.ru/COVID-19/detail.php?ELEMENT_CODE=koronavirusnaya-infektsiya-u-detey;дети редко имеют клинические проявления COVID-19;дети;13;;;;
https://www.pediatr-russia.ru/COVID-19/detail.php?ELEMENT_CODE=koronavirusnaya-infektsiya-u-detey;"дети существенно чаще чем взрослые могут являться бессимптомными носителями (или COVID-19 у детей часто протекает без таких симптомов как лихорадка, кашель, затруднение дыхания);";дети;14;;;;
https://www.pediatr-russia.ru/COVID-19/detail.php?ELEMENT_CODE=koronavirusnaya-infektsiya-u-detey;Дети после перенесенной COVID-19 очень редко, но могут развивать системную воспалительную реакцию с «цитокиновым штормом»;дети;15;;;;
https://www.pediatr-russia.ru/COVID-19/detail.php?ELEMENT_CODE=koronavirusnaya-infektsiya-u-detey;В целом коронавирусная инфекция протекала у детей легко, выздоровление наступало в течение 1-2 недель. ;дети;16;;;;
https://www.pediatr-russia.ru/COVID-19/detail.php?ELEMENT_CODE=koronavirusnaya-infektsiya-u-detey;CОVID-19 вирусная инфекция ( в том числе, пневмония) у детей, в основном, протекает легко, иногда - с характерными изменениями на КТ легких, за которыми наблюдают в динамике.;дети;17;;;;
https://www.dw.com/ru/%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81-%D0%B4%D0%BB%D1%8F-%D0%BA%D0%BE%D0%B3%D0%BE-%D0%BE%D0%BD-%D0%BE%D1%81%D0%BE%D0%B1%D0%B5%D0%BD%D0%BD%D0%BE-%D0%BE%D0%BF%D0%B0%D1%81%D0%B5%D0%BD-%D0%B8-%D0%BF%D0%BE%D1%87%D0%B5%D0%BC%D1%83/a-52742588#:~:text=%D0%92%20%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B5%20%D1%80%D0%B8%D1%81%D0%BA%D0%B0%20%2D%20%D0%BF%D0%BE%D0%B6%D0%B8%D0%BB%D1%8B%D0%B5%20%D0%BB%D1%8E%D0%B4%D0%B8,%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B5%D1%81%D1%81%D0%B8%D0%B8%20%D0%BF%D1%80%D0%B8%D0%B1%D0%BB%D0%B8%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%20%D1%81%2065%20%D0%BB%D0%B5%D1%82.;"Удивительно, но в нынешней пандемии коронавируса SARS-CoV-2 дети не являются ""слабым звеном"" - среди погибших пока нет ни одного ребенка.";дети;18;;;;
https://www.dw.com/ru/%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81-%D0%B4%D0%BB%D1%8F-%D0%BA%D0%BE%D0%B3%D0%BE-%D0%BE%D0%BD-%D0%BE%D1%81%D0%BE%D0%B1%D0%B5%D0%BD%D0%BD%D0%BE-%D0%BE%D0%BF%D0%B0%D1%81%D0%B5%D0%BD-%D0%B8-%D0%BF%D0%BE%D1%87%D0%B5%D0%BC%D1%83/a-52742588#:~:text=%D0%92%20%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B5%20%D1%80%D0%B8%D1%81%D0%BA%D0%B0%20%2D%20%D0%BF%D0%BE%D0%B6%D0%B8%D0%BB%D1%8B%D0%B5%20%D0%BB%D1%8E%D0%B4%D0%B8,%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B5%D1%81%D1%81%D0%B8%D0%B8%20%D0%BF%D1%80%D0%B8%D0%B1%D0%BB%D0%B8%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%20%D1%81%2065%20%D0%BB%D0%B5%D1%82.;Конечно же, дети тоже заражаются коронавирусом, но инфекция протекает у них бессимптомно или же в очень легкой форме.;дети;19;;;;
https://ru.krymr.com/a/koronavirus-kto-v-gruppe-riska/30611904.html;В общем дети справляются с коронавирусом гораздо лучше, чем взрослые.;дети;20;;;;
https://www.interfax.ru/russia/723931;В РФ самым стойким к COVID-19 оказался иммунитет детей до 13 лет;дети, иммунитет;1;;;;
https://www.bbc.com/russian/features-52493422;Коронавирус и карантин погрузили европейскую экономику - вторую по размеру в мире после американской - в самый глубокий кризис за всю ее послевоенную историю. ;Европа, экономика;1;;;;
https://www.bbc.com/russian/features-52493422;ЕС более других на Западе пострадал от коронавируса и ввел самый жесткий карантин.;Европа, экономика;2;;;;
https://www.bbc.com/russian/features-52493422;Коронавирус вывел из строя мотор европейской экономики. ;Европа, экономика;3;;;;
https://www.kommersant.ru/doc/4342405;Женщины менее чувствительны к COVID-19;женщины;1;;;;
https://iz.ru/975282/mariia-nediuk/gendernaia-bol-koronavirus-opasnee-dlia-muzhchin;Женщины реже умирают от COVID-19 из-за генетики, образа жизни и меньшей социальной активности;женщины;;;;;
https://www.kriis.ee/ru/koronavirus-ego-profilaktika-i-priznaki;С точки зрения имеющихся на сегодняшний день знаний, риск заражения коронавирусом у беременных женщин не выше, чем у других, и при заражении они не болеют сильнее.;женщины;1;;;;
https://www.kriis.ee/ru/koronavirus-ego-profilaktika-i-priznaki;Неизвестно, представляет ли COVID-19 серьезный риск для беременных женщин.;женщины;2;;;;
https://vk.com/covid19#utm_source=vk&utm_medium=cpc&utm_campaign=web_left_nav;На данный момент нет никаких доказательств, что домашние животные - например, собаки или кошки - могут быть переносчиками нового коронавируса.;животные;1;;;;
https://xn--80aesfpebagmfblc0a.xn--p1ai/about-covid/#myths;Согласно современным исследованиям, источником коронавирусной инфекции, вызванной этими видами вирусов, животные – кошки, собаки, хомяки и прочие – быть не могут.;животные;2;;;;
https://xn--80aesfpebagmfblc0a.xn--p1ai/about-covid/#myths;Однако, по актуальным данным Всемирной организации здравоохранения, фактов распространения COVID-19 домашними питомцами не зафиксировано.;животные;3;;;;
https://www.bbc.com/russian/features-52065978;Вопреки расхожему мнению, домашние животные НЕ могут распространять коронавирус. ;животные;4;;;;
https://www.dw.com/ru/%D0%BF%D0%BE%D1%87%D0%B5%D0%BC%D1%83-%D0%BE%D0%B4%D0%BD%D0%BE%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B%D0%B5-%D0%BF%D0%B5%D1%80%D1%87%D0%B0%D1%82%D0%BA%D0%B8-%D0%BD%D0%B5-%D0%B7%D0%B0%D1%89%D0%B8%D1%89%D0%B0%D1%8E%D1%82-%D0%BE%D1%82-%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81%D0%B0/a-53089499;Риск того, что домашний питомец будет инфицирован SARS-CoV-2, эксперты считают очень невысоким, но и не исключают его. ;животные;5;;;;
https://lenta.ru/news/2020/04/10/opasno/;Домашние животные редко могут заражаться коронавирусом, но они могут переносить его на своем теле. ;животные;6;;;;
https://lenta.ru/news/2020/04/10/opasno/;По его словам, в мире выявлены единичные случаи инфицирования кошек и собак SARS-CoV-2 от человека, поэтому их опасность как переносчиков вируса сильно преувеличена.;животные;7;;;;
https://lenta.ru/news/2020/04/10/opasno/;В частности, коронавирус способен длительное время оставаться на шерсти питомца. ;животные;8;;;;
https://lenta.ru/news/2020/04/10/opasno/;Ранее самым уязвимым к последствиям заражения коронавирусом домашним животным назвали кошку.;животные;9;;;;
https://lenta.ru/news/2020/04/10/opasno/;Кошки из китайского Уханя, ставшего очагом распространения коронавируса, массово заразились.;животные;10;;;;
https://www.bbc.com/russian/features-52065978;В воздухе коронавирус сохраняет жизнеспособность (то есть может заражать здоровых людей) в течение трех часов.;жизнеспособность;1;;;;
https://www.bbc.com/russian/features-52065978;На пластиковых и стальных поверхностях SARS-CoV-2 остается опасным до трех дней, на бумаге и картоне - до суток, на меди - до четырёх часов.;жизнеспособность;2;;;;
https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0_COVID-19;Специальные исследования установили, что возбудитель COVID-19 очень стабилен длительное время при температуре +4 °С.;жизнеспособность;3;;;;
https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0_COVID-19;Другое исследование показало, что вирус COVID-19 при нагреве до 60 °С живёт в течение часа.;жизнеспособность;4;;;;
https://www.5.ua/ru/obshchestvo/hrypp-y-koronavyrus-ymmunoloh-rasskazal-v-chem-samaia-bolshaia-opasnost-obeykh-ynfektsyi-208271.html;Недавно говорилось о том, что жизнеспособность коронавируса в оптимальных условиях (влажность, температура) – 48 часов.;жизнеспособность;5;;;;
